emotion,PC1,PC2
COE,1.4435424504660366,-1.5651660693623601
COE,3.3836385018463355,-3.3674152682517033
COE,4.936393839833402,-1.4004498053531482
COE,4.532237772749216,-0.9273872803615117
COE,3.6211211808096686,-1.3164588901417549
JOE,-1.4327854537830091,0.2622231651704785
JOE,2.0347021637027405,-1.33464942546651
JOE,1.0001291960659018,-1.1278242522007857
JOE,2.1432260031294113,-1.4230576281995027
JOE,1.8123294535754382,-0.9510182482738985
NEE,-0.5591790731337558,-0.8683715152865423
NEE,0.15107237314394792,-1.1438744494220332
NEE,-0.16990162536282044,-1.2642014408878803
NEE,0.13202473420831723,-0.7102575017832023
NEE,-0.17470096868796695,-1.1094588575224416
TRE,-5.067641964425857,0.5181001460005846
TRE,-4.527362984439214,0.6452511552526878
TRE,-4.532946514311201,0.7502383327041569
TRE,-4.710989696797075,0.6462555405421936
TRE,-3.8169160797792117,0.5449899322243569
COE,2.474560476605875,3.100588686239696
COE,4.168129371281026,3.49224104662489
COE,4.221372581375676,3.574501513044859
COE,2.2529079852063303,1.9863559738590095
COE,3.2965239715860473,3.049042870946896
JOE,1.5937549214583124,4.489680382622596
JOE,1.349292593306603,2.904242428475455
JOE,3.009426235930067,4.380449268470442
JOE,0.6888760176395893,2.2323080803823503
JOE,0.09968768541549217,2.16556895192744
NEE,-2.2781752720989052,-0.315467191349453
NEE,-2.897109865987647,-0.16668305098440506
NEE,-1.471029594742132,0.05801815604205686
NEE,-1.6344752414383092,0.14497972027119493
NEE,-2.013165710237228,-0.32818632681979487
TRE,-5.94163371465212,0.34349268680209294
TRE,-6.192931991645377,0.5807575036849769
TRE,-6.431768898519577,0.781719027562142
TRE,-6.110345936551248,0.6858986727288362
TRE,-6.60562429829699,0.9691728469113849
COE,4.558190958344233,0.9363369525205526
COE,3.5047467834338777,0.5668930079524934
COE,5.093634433567013,0.9506096375691155
COE,2.4938246097624033,0.20302799700425156
COE,4.607495999607371,0.6423486090471935
JOE,2.0533804021574245,0.044490323348226134
JOE,1.7804150442138276,0.03768047325713256
JOE,2.0467963101067266,0.6345089278975847
JOE,2.2230522040241243,0.2532940525209748
JOE,1.3738227299794425,0.43260447580112116
NEE,-2.085268838915829,-0.7254801187354438
NEE,-2.2978330647476604,-0.6091502705154457
NEE,-2.754423576098067,-0.39167236748130185
NEE,-0.647023809594888,-0.777241198341631
NEE,-0.7979579799754816,-0.9440099648565529
TRE,-5.047680990364305,0.6039249159930302
TRE,-4.859937996586197,0.5530248179129028
TRE,-4.921612607999598,0.5781157836750052
TRE,-4.721513916012245,0.811466886553464
TRE,-5.3333186071007335,0.7345256863306673
COE,2.1464493006957026,-0.9475575638558612
COE,4.386186843851339,-0.5128440263242056
COE,5.880080961679441,-0.3361024419111396
COE,4.7722418127746105,-0.05299206566550359
COE,3.95347403199543,-0.6343315682144782
JOE,3.4758140967425066,-1.6504868359271059
JOE,3.2846782854971015,-0.8842099011711004
JOE,2.8682663645470816,-1.4436435513613157
JOE,3.5755743072917454,-1.1902656829920506
JOE,1.3101232578654303,-0.7760973196643574
NEE,-1.8809296463300595,-0.9521929488523353
NEE,1.4226163203287372,-1.9890027556595273
NEE,0.32626070559571774,-1.8590214153953055
NEE,0.5389616386227144,-2.2227447617142935
NEE,0.22757403056961767,-1.5776802194386284
TRE,-2.7716550442314203,-1.5424679308102154
TRE,-2.5801328916896216,-1.5597903172785461
TRE,-2.6206616797354534,-1.4017785279773505
TRE,-2.808357670325002,-1.3648492372675674
TRE,-3.551617737992854,-0.623388442796301
