joint,time,angle_type,angle_deg
Body,5.26667,roll,-1.682485425
Body,5.3,roll,-2.154541252
Body,5.33333,roll,-1.949888967
Body,5.36667,roll,-1.525579854
Body,5.4,roll,-1.591546795
Body,5.43333,roll,-2.267552324
Body,5.46667,roll,-3.675748986
Body,5.5,roll,-4.722498646
Body,5.53333,roll,-5.17423786
Body,5.56667,roll,-4.924021181
Body,5.6,roll,-3.987750045
Body,5.63333,roll,-2.789536129
Body,5.66667,roll,-2.206089359
Body,5.7,roll,-2.102595087
Body,5.73333,roll,-1.844654719
Body,5.76667,roll,-1.517182447
Body,5.8,roll,-1.954736249
Body,5.83333,roll,-2.916419274
Body,5.86667,roll,-3.734038715
Body,5.9,roll,-4.438902053
Body,5.93333,roll,-5.216527123
Body,5.96667,roll,-6.036984388
Body,6,roll,-6.378954169
Body,6.03333,roll,-5.765218682
Body,6.06667,roll,-4.507948428
Body,6.1,roll,-3.321396653
Body,6.13333,roll,-3.337653791
Body,6.16667,roll,-4.508621384
Body,6.2,roll,-5.819345059
Body,6.23333,roll,-6.53505093
Body,6.26667,roll,-6.74426393
Body,6.3,roll,-6.327467279
Body,6.33333,roll,-6.123523566
Body,6.36667,roll,-5.778737242
Body,6.4,roll,-4.653186168
Body,6.43333,roll,-3.114067772
Body,6.46667,roll,-1.466901401
Body,0,pitch,-3.001976192
Body,0.0333333,pitch,-4.354424168
Body,0.0666667,pitch,-0.8229274674
Body,0.1,pitch,-0.6313435114
Body,0.133333,pitch,-0.6207889987
Body,0.166667,pitch,-0.598637196
Body,0.2,pitch,-0.5927526014
Body,0.233333,pitch,-0.5696285538
Body,0.266667,pitch,-0.5395417032
Body,0.3,pitch,-0.4953528219
Body,0.333333,pitch,-0.4633239329
Body,0.366667,pitch,-0.4291413795
Body,0.4,pitch,-0.3847532184
Body,0.433333,pitch,-0.3311725955
Body,0.466667,pitch,-0.275789716
Body,0.5,pitch,-0.2293802553
Body,0.533333,pitch,-0.1863284952
Body,0.566667,pitch,-0.1316360233
Body,0.6,pitch,-0.1184631192
Body,0.633333,pitch,-0.06587125334
Body,0.666667,pitch,-0.02321046362
Body,0.7,pitch,0.03553702197
Body,0.733333,pitch,0.07109605921
Body,0.766667,pitch,0.1271858488
Body,0.8,pitch,0.1809409454
Body,0.833333,pitch,0.2411626588
Body,0.866667,pitch,0.2873401117
Body,0.9,pitch,0.3391047589
Body,0.933333,pitch,0.3918672258
Body,0.966667,pitch,0.4348997691
Body,1,pitch,0.4627417887
Body,1.03333,pitch,0.5231217456
Body,1.06667,pitch,0.5624845674
Body,1.1,pitch,0.5845244932
Body,1.13333,pitch,0.622318886
Body,1.16667,pitch,0.6286848265
Body,1.2,pitch,0.6752062827
Body,1.23333,pitch,0.6873423868
Body,1.26667,pitch,0.7200206348
Body,1.3,pitch,0.7421959069
Body,1.33333,pitch,0.7651391221
Body,1.36667,pitch,0.7837218409
Body,1.4,pitch,0.8044018738
Body,1.43333,pitch,0.8349436499
Body,1.46667,pitch,0.8517102112
Body,1.5,pitch,0.883083246
Body,1.53333,pitch,0.9202269701
Body,1.56667,pitch,0.9739204526
Body,1.6,pitch,1.008578127
Body,1.63333,pitch,1.067986419
Body,1.66667,pitch,1.17004395
Body,1.7,pitch,1.254591346
Body,1.73333,pitch,1.388114589
Body,1.76667,pitch,1.58106569
Body,1.8,pitch,1.795588398
Body,1.83333,pitch,2.141785291
Body,1.86667,pitch,2.586665755
Body,1.9,pitch,3.106965179
Body,1.93333,pitch,3.642878722
Body,1.96667,pitch,3.990949693
Body,2,pitch,3.939541177
Body,2.03333,pitch,3.443325604
Body,2.06667,pitch,2.984104177
Body,2.1,pitch,3.061624375
Body,2.13333,pitch,3.155177065
Body,2.16667,pitch,3.180035577
Body,2.2,pitch,2.988487527
Body,2.23333,pitch,2.730529915
Body,2.26667,pitch,2.600614378
Body,2.3,pitch,2.792607502
Body,2.33333,pitch,3.197750214
Body,2.36667,pitch,3.675167689
Body,2.4,pitch,4.140512882
Body,2.43333,pitch,4.926624454
Body,2.46667,pitch,5.778732353
Body,2.5,pitch,6.293756565
Body,2.53333,pitch,6.759727739
Body,2.56667,pitch,7.975694162
Body,2.6,pitch,8.496558203
Body,2.63333,pitch,8.12122658
Body,2.66667,pitch,7.224011632
Body,2.7,pitch,4.669852874
Body,2.73333,pitch,1.186170391
Body,2.76667,pitch,-1.582298019
Body,2.8,pitch,-3.976562338
Body,2.83333,pitch,-6.943642935
Body,2.86667,pitch,-9.182054452
Body,2.9,pitch,-10.58103574
