time,translational_speed
2.06667,1.6840064995149855
2.1,1.637143491133167
2.13333,1.5802402338150165
2.16667,1.5215332237112416
2.2,1.4432603115984914
2.23333,1.394547753158545
2.26667,1.3770261480258923
2.3,1.4175891223794062
2.33333,1.4684906550591705
2.36667,1.530700066179282
2.4,1.6572522416137032
2.43333,1.886180765303005
2.46667,2.088060264727181
2.5,2.0974634035311186
2.53333,2.057387744285859
2.56667,1.9042035026930568
2.6,1.8663559265467033
2.63333,1.8254732053254514
2.66667,1.7356026663845399
2.7,1.6604516652030088
2.73333,1.6082170329409562
2.76667,1.6030806193752163
2.8,1.6341766525308767
2.83333,1.6820077915609137
2.86667,1.7663963182164333
2.9,1.9348751327782117
2.93333,2.1332039541385432
2.96667,2.1832820806239774
3.0,2.1270252617565473
3.03333,2.094935295967718
3.06667,2.0407672154559218
3.1,1.9223482795079687
3.13333,1.81615875705894
3.16667,1.7283860181441508
3.2,1.6828581077625082
3.23333,1.6759428559182543
3.26667,1.7410641128774638
3.3,1.797450903847466
3.33333,1.8607744416451084
3.36667,2.0585139458926793
3.4,2.2794865685813397
3.43333,2.2294067648596543
3.46667,2.1279990130272792
3.5,1.9605812148955402
3.53333,1.9630257946648144
3.56667,1.9385424012967876
3.6,1.8093451235786608
3.63333,1.7045763127315274
3.66667,1.6810770660259609
3.7,1.6737499146051893
3.73333,1.7048615808729117
3.76667,1.7429128356946229
3.8,1.823692416513127
3.83333,1.9969855839502
3.86667,2.159637588238734
3.9,2.111179540384852
3.93333,2.029245611396468
3.96667,1.9432330600994538
4.0,1.8649313149502937
4.03333,1.7577542965774173
4.06667,1.7088230485373532
4.1,1.6086305776623304
4.13333,1.5663834926075897
4.16667,1.5531728767951438
4.2,1.5718786604240589
4.23333,1.607562487770826
4.26667,1.6521575446348837
4.3,1.7826283618011194
