time,translational_speed
2.06667,0.46465858622433287
2.1,0.5301010630873522
2.13333,0.5880027963370871
2.16667,0.6516360086119618
2.2,0.7241315784199046
2.23333,0.831570407514269
2.26667,0.9523966012660795
2.3,1.0228085422020288
2.33333,1.1131164807735314
2.36667,1.2043303637015765
2.4,1.2107721313571482
2.43333,1.161494404489155
2.46667,1.0919814171664686
2.5,1.0965028179912721
2.53333,1.095793151018178
2.56667,1.0719453007249162
2.6,1.0522668352304183
2.63333,1.0935781561358993
2.66667,1.151075868411394
2.7,1.1810497717979036
2.73333,1.1764921047729937
2.76667,1.2604799342241786
2.8,1.4385535440731756
2.83333,1.5957571169795277
2.86667,1.585461950036779
2.9,1.5886849187032035
2.93333,1.4630651010096312
2.96667,1.284366572291301
3.0,1.30714401689712
3.03333,1.2971217290334605
3.06667,1.2372530559341661
3.1,1.2011042180185558
3.13333,1.232560456798732
3.16667,1.271222561449975
3.2,1.2722042491067318
3.23333,1.2721816008418974
3.26667,1.3203492562968655
3.3,1.4814254050744384
3.33333,1.62442127547276
3.36667,1.6341570485964478
3.4,1.5893637397898321
3.43333,1.4889791004851973
3.46667,1.4291480029708927
3.5,1.3879409974053907
3.53333,1.3659965176700881
3.56667,1.3253075929217553
3.6,1.3212918540369176
3.63333,1.3625234652187568
3.66667,1.4108391485864185
3.7,1.4229150727429019
3.73333,1.4140018849959708
3.76667,1.5162817578827092
3.8,1.67694082990072
3.83333,1.7236964159490287
3.86667,1.7191590880694125
3.9,1.563970706827445
3.93333,1.4242153286903516
3.96667,1.4693773655192521
4.0,1.4199016839546414
4.03333,1.3588800871131497
4.06667,1.3193005351765044
4.1,1.3339337108474518
4.13333,1.3719997234053443
4.16667,1.379952786783562
4.2,1.3501202806143402
4.23333,1.3995613944488867
4.26667,1.5663577321106568
4.3,1.624745254964859
4.33333,1.5955434367368604
4.36667,1.48558351006449
4.4,1.4188613495243703
4.43333,1.3877717645330059
4.46667,1.3672134604261872
4.5,1.3078358778655321
4.53333,1.2815377017679994
4.56667,1.2910102430471437
4.6,1.3306438467536343
4.63333,1.336690567508876
4.66667,1.3009389699447502
4.7,1.3574865880883102
4.73333,1.5049549886141877
4.76667,1.5792400341954629
4.8,1.5699053232596083
4.83333,1.453592356721292
4.86667,1.3117028743603427
4.9,1.267177636551045
4.93333,1.283291517682385
4.96667,1.2407568301308285
5.0,1.1832612505851472
5.03333,1.173962081206943
5.06667,1.2025286673832865
5.1,1.2199848954169201
5.13333,1.1929988923041543
5.16667,1.2434909143164767
5.2,1.3409878404725097
5.23333,1.4147073626267967
5.26667,1.4036155849128944
5.3,1.3082957173439296
5.33333,1.2284068586963532
5.36667,1.1940400934528252
5.4,1.1648584733278178
5.43333,1.1475210070950115
5.46667,1.1192091304415646
5.5,1.1087496213533927
5.53333,1.1308878232453776
