time,translational_speed
2.06667,1.9226088335260303
2.1,2.1443173729693457
2.13333,2.1211186545023564
2.16667,2.170063138925292
2.2,2.219397724269888
2.23333,2.2104781956872186
2.26667,2.1921519673324794
2.3,2.0888130115757377
2.33333,1.9639532993024993
2.36667,1.8475441422386192
2.4,1.8323300863476428
2.43333,1.931999508797585
2.46667,2.04643388616617
2.5,2.2339871500828745
2.53333,2.543991192460895
2.56667,2.447537240199956
2.6,2.341045754003842
2.63333,2.3001350700352163
2.66667,2.3960502377406545
2.7,2.4447613001866455
2.73333,2.333911008087578
2.76667,2.2171642268918044
2.8,2.162127041045559
2.83333,2.1709752865953087
2.86667,2.217939309047561
2.9,2.376437028708274
2.93333,2.6258475108389567
2.96667,2.478381669986318
3.0,2.332774236035057
3.03333,2.376893225596182
3.06667,2.4946742334925274
3.1,2.5357609167436164
3.13333,2.453917544121155
3.16667,2.3073310620275183
3.2,2.203647486416139
3.23333,2.1633882201342773
3.26667,2.1652374661583793
3.3,2.3582827148282473
3.33333,2.6097437158741794
3.36667,2.444384465531822
3.4,2.2662696636274062
3.43333,2.2004320088078204
3.46667,2.23535093734809
3.5,2.3038582395581653
3.53333,2.290896956432338
3.56667,2.2207315310322584
3.6,2.127676216073766
3.63333,2.125917754139198
3.66667,2.2070585849308118
