time,translational_speed
2.06667,1.2824396251508674
2.1,1.2453742388894096
2.13333,1.1889331332179471
2.16667,1.1484221312254832
2.2,1.1006900334311747
2.23333,1.0647090412560916
2.26667,1.0504006673843678
2.3,1.0597427924391314
2.33333,1.0899818748111607
2.36667,1.1243601498336557
2.4,1.1446026792112252
2.43333,1.13349777396893
2.46667,1.149605080929749
2.5,1.2491322431067338
2.53333,1.3654764122536986
2.56667,1.4214748811503086
2.6,1.4330520127608202
2.63333,1.3280220546282757
2.66667,1.2396905397610134
2.7,1.226501030905676
2.73333,1.1760808563634073
2.76667,1.1392237816412145
2.8,1.1284137754372539
2.83333,1.1501861682853924
2.86667,1.1972723101983387
2.9,1.2146556710961307
2.93333,1.1900203857674856
2.96667,1.1673778422081575
3.0,1.2451339836033117
3.03333,1.4466201429679209
3.06667,1.5225084382691911
3.1,1.5226379834357904
3.13333,1.4400024039037578
3.16667,1.3366543621971307
3.2,1.2777750703856214
3.23333,1.2101650220656457
3.26667,1.1574822757135248
3.3,1.147721783439608
3.33333,1.1634390924671116
3.36667,1.1926241355375533
3.4,1.199928677232032
3.43333,1.2305482284112121
3.46667,1.2090447951592829
3.5,1.238454496487575
3.53333,1.3177251618438677
3.56667,1.411970443401834
3.6,1.4482338382582431
3.63333,1.4315642960317871
3.66667,1.30670483166401
3.7,1.2495258503356212
3.73333,1.2245865199457557
3.76667,1.1721515326340082
3.8,1.124373406199725
3.83333,1.0941683723327653
3.86667,1.0970109260048309
3.9,1.138133587967312
3.93333,1.1767509775331253
3.96667,1.124922215926618
4.0,1.0881183428127623
4.03333,1.1328350670881726
4.06667,1.2805114598753413
4.1,1.3966837799262353
4.13333,1.3957366694291702
4.16667,1.3801413097195807
4.2,1.2666038206972403
4.23333,1.1787135272076246
4.26667,1.1302343360741498
4.3,1.0696196456200822
4.33333,1.0571697939397204
4.36667,1.0315365310018734
4.4,1.042555045710027
4.43333,1.0625996733116434
4.46667,1.0842827534077548
4.5,1.0948909670181974
4.53333,1.0853899139352323
4.56667,1.1057470868353731
4.6,1.1878245043361395
4.63333,1.2875795506846333
4.66667,1.3406824854126138
4.7,1.354988426285296
4.73333,1.274308127338962
4.76667,1.164122195389468
4.8,1.1371074514931094
4.83333,1.0943470168107823
4.86667,1.0513136454156646
4.9,1.0228863626225517
4.93333,1.027767199038798
4.96667,1.0565991958163234
5.0,1.0837697764008973
5.03333,1.0770786158251981
5.06667,1.0402830864492956
5.1,1.0452209359442366
5.13333,1.1346250490918441
5.16667,1.2838347105235708
5.2,1.3111116395090374
5.23333,1.3180676690151727
5.26667,1.2597254107857596
5.3,1.1729225384904336
5.33333,1.1019375448853137
5.36667,1.027049214726835
5.4,0.9667725672012232
5.43333,0.9325467811340029
5.46667,0.9103107813081941
5.5,0.9144757806131333
5.53333,0.9159592547059208
5.56667,0.9170162488434918
5.6,0.9079327352986996
5.63333,0.901113294216518
5.66667,0.9147716924063696
5.7,0.9692394891579681
5.73333,1.0468428009549624
