time,translational_speed
2.06667,0.47788610129891196
2.1,0.5402742025340592
2.13333,0.5596651180631425
2.16667,0.5646398377627236
2.2,0.5553446275485069
2.23333,0.558386805043646
2.26667,0.5887136750748703
2.3,0.692329243686225
2.33333,0.7814360337535868
2.36667,0.8261751697025117
2.4,0.9506683943108072
2.43333,1.1428702865753584
2.46667,1.2799046503971037
2.5,1.352171631243754
2.53333,1.356016199681617
2.56667,1.3296391308152489
2.6,1.2631910935765938
2.63333,1.2046904604122572
2.66667,1.1298775305940991
2.7,1.0607926475779337
2.73333,1.0177230276822031
2.76667,1.0262993616467344
2.8,1.085810008880588
2.83333,1.1702534389299193
2.86667,1.2216790342127408
2.9,1.2503497126992424
2.93333,1.3770042969087988
2.96667,1.4926965823768277
3.0,1.5046666659811885
3.03333,1.5654940584114934
3.06667,1.4666053950565006
3.1,1.3522750879152379
3.13333,1.2885386167088855
3.16667,1.2305310086732555
3.2,1.2015190203050155
3.23333,1.1855865566210286
3.26667,1.1851673229893527
3.3,1.2285393353436536
3.33333,1.3038621150959335
3.36667,1.2940598991960457
3.4,1.2723525372344755
3.43333,1.3972452407253233
3.46667,1.5513636654704233
3.5,1.6035942270019092
3.53333,1.5859477099436325
3.56667,1.4705954255442661
3.6,1.3891976709003766
3.63333,1.3111421835160197
3.66667,1.2711839989950062
3.7,1.2621505764266974
3.73333,1.2605258923623193
3.76667,1.2674589413778612
3.8,1.2896651358043119
3.83333,1.2992204845959556
3.86667,1.275346424364302
3.9,1.3077156525959381
3.93333,1.4161383462460966
3.96667,1.5134342803215264
4.0,1.5603937000166164
4.03333,1.5773272390864785
4.06667,1.464534749977607
4.1,1.413581137128039
4.13333,1.3700067889799505
4.16667,1.3178640957698966
4.2,1.227022882946841
4.23333,1.1214737040951095
4.26667,1.1008390875361453
4.3,1.1575701546484978
4.33333,1.2179446762940367
4.36667,1.2013031820239113
4.4,1.2181971070390267
4.43333,1.345428833178219
4.46667,1.5105871978314165
4.5,1.630440688060759
4.53333,1.6305292181742579
4.56667,1.600061369178723
4.6,1.4792948628570315
4.63333,1.4137248765297628
4.66667,1.3409118112627654
4.7,1.255987933605568
4.73333,1.1886526112692262
4.76667,1.1557585960294234
4.8,1.144131872144919
4.83333,1.1303877993580815
4.86667,1.1299007483635484
4.9,1.1550091296511205
4.93333,1.1887665599499357
4.96667,1.2535062583302157
5.0,1.3558259674929354
5.03333,1.4880139262275165
5.06667,1.6261381852929726
5.1,1.676254249678054
5.13333,1.5800826360860747
5.16667,1.3317866152722593
5.2,1.2491432746808966
5.23333,1.2230315263168312
5.26667,1.2575411025066847
5.3,1.1957881880078434
5.33333,1.137171806857707
5.36667,1.0928060770247512
5.4,1.1121555312618003
5.43333,1.126504253732156
5.46667,1.1274296999213762
5.5,1.1749898621814576
5.53333,1.319927012694902
5.56667,1.4678203712863485
5.6,1.5292794898136457
5.63333,1.5226680292829018
5.66667,1.4104320841010787
5.7,1.316839287802918
5.73333,1.230661945710395
5.76667,1.1477073718183248
5.8,1.0572056129555918
5.83333,0.9533851411449752
5.86667,0.9137554004925348
5.9,0.8504438183707861
5.93333,0.8434630971684385
5.96667,0.8298386144331421
