time,translational_speed
2.06667,1.4393309836729136
2.1,1.608402340289273
2.13333,1.82034558528688
2.16667,1.8545968942772229
2.2,1.8680113758233143
2.23333,1.8190021688800757
2.26667,1.7255678815946447
2.3,1.7288197387667938
2.33333,1.6665000693141094
2.36667,1.5597489876661301
2.4,1.4758783696871078
2.43333,1.4624126663068697
2.46667,1.4865045895167333
2.5,1.5116632748135557
2.53333,1.512805021911645
2.56667,1.5622750343197382
2.6,1.7716463984962947
2.63333,1.9426599169528733
2.66667,1.88715578055806
2.7,1.8289554184382644
2.73333,1.7848345223056639
2.76667,1.7956325071953927
2.8,1.7926918011028377
2.83333,1.710618923506363
2.86667,1.6281747110816998
2.9,1.6025008357893833
2.93333,1.623636497906309
2.96667,1.6655761362327515
3.0,1.6071795058930385
3.03333,1.632788979357177
3.06667,1.871916322048207
3.1,2.0205826213244302
3.13333,1.9609738350172274
3.16667,1.9354710766484404
3.2,1.794863906170301
3.23333,1.804038212241838
3.26667,1.789298785691934
3.3,1.714610362047268
3.33333,1.611125966961916
3.36667,1.5439096776743764
3.4,1.5642924169998031
3.43333,1.5896483385951197
3.46667,1.5868662178384456
3.5,1.5835044157412717
3.53333,1.7117343129327287
3.56667,1.8700344733042535
3.6,1.866696211305808
3.63333,1.7925587439572133
3.66667,1.7394456443112476
3.7,1.7373888936989124
3.73333,1.7349288991071763
3.76667,1.6598267684124586
3.8,1.5567530304659092
3.83333,1.5116576212230195
3.86667,1.5086448763424973
3.9,1.522538251034756
3.93333,1.5008756267936012
3.96667,1.5189987160514684
4.0,1.6819364937430574
4.03333,1.8224840321920424
4.06667,1.7893579768286316
4.1,1.701971993943103
4.13333,1.5418091084481231
4.16667,1.4474978967603176
4.2,1.4806568614046787
4.23333,1.4247834073119792
4.26667,1.3296357623343582
4.3,1.2836822902751848
4.33333,1.241470710686545
4.36667,1.2201222486830545
4.4,1.2003423593907292
4.43333,1.1522456679628796
4.46667,1.2158312672003697
4.5,1.3577266460870665
4.53333,1.2789788512021871
