time,translational_speed
2.06667,2.047464431870717
2.1,2.1163778936870297
2.13333,2.1847534719769244
2.16667,2.18765424972052
2.2,2.1109900507193236
2.23333,2.098243709202154
2.26667,2.0915756679839497
2.3,2.119414881086872
2.33333,2.325724124955506
2.36667,2.5430922758914627
2.4,2.522140116476794
2.43333,2.395697970312451
2.46667,2.2925453157483187
2.5,2.2909250216468533
2.53333,2.2612635020253697
2.56667,2.246024010350965
2.6,2.1753714894244847
2.63333,2.1303823791824437
2.66667,2.1374822676384997
2.7,2.122557254588725
2.73333,2.27959756333098
2.76667,2.5011108141495746
2.8,2.694116030566369
2.83333,2.4885479535573745
2.86667,2.0965957505382433
2.9,2.143524424503892
2.93333,2.2689004773228847
2.96667,2.1609532136061427
3.0,2.1159703451908505
3.03333,2.084439906088813
3.06667,2.0595785036216667
3.1,2.0692130131241253
3.13333,2.0554455500288245
3.16667,2.2338429869401564
3.2,2.42982464515871
3.23333,2.3719824982768105
3.26667,2.20089438781147
3.3,2.0642132750952116
3.33333,2.0257358582543175
3.36667,1.916866935388493
3.4,1.8291772442601912
3.43333,1.7414265147101422
