time,translational_speed
2.06667,0.3942959080132561
2.1,0.5178708800152472
2.13333,0.5798163683808361
2.16667,0.6354480002988423
2.2,0.7045052716426399
2.23333,0.7849912444662478
2.26667,0.9522681398027537
2.3,1.17186398780257
2.33333,1.2589777922052308
2.36667,1.330828287677771
2.4,1.3677538869371029
2.43333,1.3353973417598142
2.46667,1.2753428024396212
2.5,1.2111729900113204
2.53333,1.1783378376030869
2.56667,1.182582944402529
2.6,1.2278789440182323
2.63333,1.347143675584971
2.66667,1.4316028396675975
2.7,1.348024432272009
2.73333,1.3500866374638347
2.76667,1.4195844873569545
2.8,1.4593073832513828
2.83333,1.4131641614543864
2.86667,1.4145448264498757
2.9,1.4827803161314321
2.93333,1.4205556814532119
2.96667,1.2244551352651034
3.0,1.4999648475580534
3.03333,1.7288671985344157
3.06667,1.7483773441371515
3.1,1.8846079277904892
3.13333,1.9904071220192903
3.16667,2.104332386068086
3.2,1.9086827409578482
3.23333,1.8603449275446438
3.26667,1.7461122395088202
3.3,1.6261443193105631
3.33333,1.6042668673882128
3.36667,1.6058472465522657
3.4,1.7060337657668152
3.43333,1.8673466711484374
3.46667,1.877822068340674
3.5,2.003495329260084
3.53333,2.1136668014125686
3.56667,1.9635561932901797
3.6,1.8400778519783716
3.63333,1.7641628463344872
3.66667,1.7189403732552935
3.7,1.7000902215909568
3.73333,1.6821256607793262
3.76667,1.7023237084880127
3.8,1.72008892246686
3.83333,1.7319433655486434
3.86667,1.9161873559847327
3.9,2.0877147757563757
3.93333,1.8547191557832896
3.96667,1.6991782005395624
4.0,1.6209678344645606
4.03333,1.556479337466217
4.06667,1.461235216673994
4.1,1.4572206807781924
4.13333,1.4847948094868368
4.16667,1.5085297302654335
4.2,1.5733038552203653
4.23333,1.6158991479359297
4.26667,1.6818841405238454
4.3,1.7980747190282225
4.33333,1.6861634877822438
4.36667,1.4924103820025956
4.4,1.2894655670325093
4.43333,1.1754275952137905
4.46667,1.180306938464491
4.5,1.2593245651193536
4.53333,1.3334088835276006
